HomeTeam,AwayTeam,FTHG,FTAG,FTR
Granada,Cordoba,1,1,D
La Coruna,Ceuta,2,1,H
Cadiz,Cultural Leonesa,1,2,A
Huesca,Sp Gijon,2,0,H
Burgos,Santander,0,2,A
Malaga,Mirandes,3,2,H
Sociedad B,Valladolid,1,0,H
Ceuta,Almeria,3,2,H
Sp Gijon,Andorra,1,1,D
Ceuta,Burgos,1,0,H
Cultural Leonesa,Granada,0,1,A
Albacete,La Coruna,0,2,A
Almeria,Huesca,0,0,D
Valladolid,Malaga,1,1,D
Zaragoza,Leganes,3,2,H
Santander,Eibar,4,0,H
Cordoba,Cadiz,1,2,A
Mirandes,Sociedad B,1,0,H
Castellon,Las Palmas,1,0,H
Andorra,Almeria,1,2,A
Huesca,Valladolid,1,4,A
Sociedad B,Sp Gijon,0,1,A
Cadiz,Santander,2,3,A
Leganes,Cordoba,0,0,D
Eibar,Cultural Leonesa,1,2,A
La Coruna,Castellon,1,3,A
Granada,Ceuta,1,1,D
Burgos,Albacete,0,1,A
Las Palmas,Mirandes,0,0,D
Malaga,Zaragoza,1,1,D
Rennes,Marseille,1,0,H
Lens,Lyon,0,1,A
Monaco,Le Havre,3,1,H
Nice,Toulouse,0,1,A
Brest,Lille,3,3,D
Angers,Paris FC,1,0,H
Auxerre,Lorient,1,0,H
Metz,Strasbourg,0,1,A
Nantes,Paris SG,0,1,A
Paris SG,Angers,1,0,H
Marseille,Paris FC,5,2,H
Nice,Auxerre,3,1,H
Lyon,Metz,3,0,H
Lorient,Rennes,4,0,H
Le Havre,Lens,1,2,A
Strasbourg,Nantes,1,0,H
Toulouse,Brest,2,0,H
Lille,Monaco,1,0,H
Lens,Brest,3,1,H
Lorient,Lille,1,7,A
Nantes,Auxerre,1,0,H
Toulouse,Paris SG,3,6,A
Angers,Rennes,1,1,D
Le Havre,Nice,3,1,H
Monaco,Strasbourg,3,2,H
Paris FC,Metz,3,2,H
Lyon,Marseille,1,0,H
Marseille,Lorient,4,0,H
Nice,Nantes,1,0,H
Auxerre,Monaco,1,2,A
Lille,Toulouse,2,1,H
Brest,Paris FC,1,2,A
Metz,Angers,1,1,D
Paris SG,Lens,2,0,H
Strasbourg,Le Havre,1,0,H
Rennes,Lyon,3,1,H
Lyon,Angers,1,0,H
Nantes,Rennes,2,2,D
Brest,Nice,4,1,H
Lens,Lille,3,0,H
Paris FC,Strasbourg,2,3,A
Auxerre,Toulouse,1,0,H
Le Havre,Lorient,1,1,D
Monaco,Metz,5,2,H
Marseille,Paris SG,1,0,H
Strasbourg,Marseille,1,2,A
Lorient,Monaco,3,1,H
Toulouse,Nantes,2,2,D
Paris SG,Auxerre,2,0,H
Nice,Paris FC,1,1,D
Angers,Brest,0,2,A
Lille,Lyon,0,1,A
Metz,Le Havre,0,0,D
Rennes,Lens,0,0,D
Paris FC,Lorient,2,0,H
Metz,Marseille,0,3,A
Brest,Nantes,0,0,D
Auxerre,Lens,1,2,A
Lyon,Toulouse,1,2,A
Le Havre,Rennes,2,2,D
Monaco,Nice,2,2,D
Strasbourg,Angers,5,0,H
Lille,Paris SG,1,1,D
Paris SG,Strasbourg,3,3,D
Nice,Lyon,3,2,H
Angers,Monaco,1,1,D
Marseille,Le Havre,6,2,H
Lens,Paris FC,2,1,H
Lorient,Brest,3,3,D
Rennes,Auxerre,2,2,D
Toulouse,Metz,4,0,H
Nantes,Lille,0,2,A
Paris FC,Nantes,1,2,A
