Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HY,AY,HR,AR,HC,AC,HST,AST,HF,AF,BTTS,HomeGoalsAvg,AwayGoalsAvg,GoalDiff,HY_avg,AY_avg,HR_avg,AR_avg,HC_avg,AC_avg,HST_avg,AST_avg,HF_avg,AF_avg,Home_Win_Streak,Home_BTTS_Streak,Home_CleanSheet_Streak,Away_Win_Streak,Away_BTTS_Streak,Away_CleanSheet_Streak
2025-09-27,Man City,Burnley,5,1,H,1,3,0,0,10,2,8,2,5,7,1,2.75,1.375,1.375,1.375,1.875,0.0,0.125,7.625,4.25,6.75,3.75,9.5,9.625,4,3,2,0,3,0
2025-09-27,Nott'm Forest,Sunderland,0,1,A,4,2,0,0,7,4,6,3,11,6,0,1.1428571428571428,0.5,0.6428571428571428,1.4285714285714286,1.625,0.0,0.125,7.0,3.25,4.0,2.5,10.857142857142858,9.0,3,1,2,1,3,0
2025-09-27,Tottenham,Wolves,1,1,D,3,2,0,0,10,9,3,3,9,11,1,1.25,0.14285714285714285,1.1071428571428572,2.75,2.7142857142857144,0.0,0.2857142857142857,6.0,3.2857142857142856,3.375,2.2857142857142856,11.75,15.0,1,4,1,0,1,0
2025-09-28,Aston Villa,Fulham,3,1,H,1,4,0,0,2,8,4,4,10,13,1,1.625,0.8571428571428571,0.7678571428571429,1.25,2.2857142857142856,0.125,0.0,5.25,4.0,5.125,3.5714285714285716,9.75,13.428571428571429,5,3,2,2,3,1
2025-09-28,Newcastle,Arsenal,1,2,A,2,1,0,0,7,12,3,7,8,9,1,1.75,1.25,0.5,1.0,2.125,0.125,0.0,7.625,6.0,5.625,5.5,11.125,11.125,3,5,0,2,4,1
2025-09-29,Everton,West Ham,1,1,D,3,4,0,0,3,5,6,3,7,16,1,1.375,1.125,0.25,2.5,2.0,0.0,0.0,5.875,5.0,4.0,3.5,10.625,10.5,4,1,4,1,4,0
2025-10-03,Bournemouth,Fulham,3,1,H,0,1,0,0,4,3,6,4,8,10,1,1.25,0.8571428571428571,0.3928571428571429,2.125,2.2857142857142856,0.0,0.0,5.25,4.0,4.875,3.5714285714285716,12.375,13.428571428571429,0,2,1,2,3,1
2025-10-04,Leeds,Tottenham,1,2,A,2,3,0,0,4,1,4,3,10,12,1,1.625,2.142857142857143,-0.5178571428571428,2.125,2.2857142857142856,0.0,0.0,4.75,6.142857142857143,4.5,3.4285714285714284,11.5,11.285714285714286,1,5,0,1,4,1
2025-10-04,Arsenal,West Ham,2,0,H,0,2,0,0,8,3,5,0,14,14,0,2.5714285714285716,1.125,1.4464285714285716,0.42857142857142855,2.0,0.0,0.0,5.857142857142857,5.0,5.142857142857143,3.5,9.285714285714286,10.5,2,4,1,1,4,0
2025-10-04,Man United,Sunderland,2,0,H,1,4,0,0,2,3,6,3,10,12,0,1.7142857142857142,0.5,1.2142857142857142,1.2857142857142858,1.625,0.14285714285714285,0.125,4.714285714285714,3.25,6.0,2.5,10.142857142857142,9.0,2,4,0,1,3,0
2025-10-04,Chelsea,Liverpool,2,1,H,0,2,0,0,7,2,6,2,9,8,1,1.4285714285714286,1.625,-0.1964285714285714,1.4285714285714286,2.375,0.2857142857142857,0.0,7.285714285714286,4.875,5.285714285714286,4.0,11.142857142857142,11.625,2,2,3,1,2,1
2025-10-05,Aston Villa,Burnley,2,1,H,3,1,0,0,6,4,7,2,9,15,1,1.625,1.375,0.25,1.25,1.875,0.125,0.125,5.25,4.25,5.125,3.75,9.75,9.625,5,3,2,0,3,0
2025-10-05,Everton,Crystal Palace,2,1,H,2,3,0,0,2,4,7,8,13,16,1,1.375,1.375,0.0,2.5,1.875,0.0,0.0,5.875,3.75,4.0,4.0,10.625,10.375,4,1,4,3,2,3
2025-10-05,Newcastle,Nott'm Forest,2,0,H,0,4,0,0,8,1,9,4,16,15,0,1.75,0.75,1.0,1.0,1.875,0.125,0.0,7.625,4.375,5.625,3.875,11.125,11.125,3,5,0,3,1,2
2025-10-05,Wolves,Brighton,1,1,D,2,4,0,0,2,8,3,6,13,9,1,0.875,1.2857142857142858,-0.4107142857142858,1.5,3.2857142857142856,0.0,0.0,2.75,5.285714285714286,3.375,4.142857142857143,14.125,12.142857142857142,0,1,0,2,3,2
